it,sol,rhsl1,rhsl2,rhslinf,dyl1,dyl2,dylinf,relerr
48,3,1.125946e+05,1.149521e+04,8.424520e+03,3.495808e+05,1.439231e+03,7.906938e+00,1.993304e-08
48,4,3.598098e+01,1.123331e+00,7.826010e-01,8.897463e+03,3.655630e+01,8.257017e-01,2.541760e-08
48,5,3.333245e+01,1.048153e+00,7.303531e-01,8.289085e+03,3.411547e+01,7.618143e-01,2.528338e-08
48,6,2.999805e+01,9.537674e-01,6.647718e-01,7.517980e+03,3.104617e+01,6.830942e-01,2.508999e-08
49,1,2.731524e+09,2.786795e+08,2.042873e+08,5.695075e+09,2.409906e+07,1.348614e+05,3.271882e-08
49,2,1.206098e+05,1.231196e+04,9.024452e+03,3.401865e+05,1.408098e+03,7.606736e+00,3.274215e-08
49,3,1.100290e+05,1.123318e+04,8.233650e+03,3.452052e+05,1.415910e+03,7.740407e+00,3.272751e-08
49,4,3.128734e+01,1.099222e+00,7.688770e-01,1.106805e+04,4.558189e+01,1.124700e+00,4.330271e-08
49,5,2.744710e+01,1.004579e+00,7.022479e-01,1.083348e+04,4.424971e+01,9.601649e-01,4.205474e-08
49,6,2.294201e+01,8.947528e-01,6.221919e-01,9.715072e+03,3.969266e+01,8.348095e-01,4.277305e-08
50,1,2.883523e+09,2.940360e+08,2.155455e+08,5.734154e+09,2.424469e+07,1.354907e+05,2.373379e-08
50,2,1.182185e+05,1.206174e+04,8.841074e+03,3.186977e+05,1.317385e+03,7.111098e+00,2.364155e-08
50,3,1.087000e+05,1.109186e+04,8.130111e+03,3.103915e+05,1.275376e+03,7.791725e+00,2.362655e-08
50,4,3.274462e+01,1.065089e+00,7.378425e-01,8.647898e+03,3.546806e+01,1.092624e+00,2.345390e-08
50,5,2.989165e+01,9.911556e-01,6.877392e-01,8.042056e+03,3.326091e+01,1.054495e+00,2.505410e-08
50,6,2.446012e+01,8.599218e-01,5.980530e-01,6.641259e+03,2.816303e+01,9.907716e-01,2.813208e-08
